name,price €,profit_rate %
UOZS,110.53,15.71
EDCB,26.26,3.95
TVKZ,15.63,12.74
TONW,181.06,7.29
TDCO,85.31,11.04
HFHO,164.51,10.7
DJWY,191.62,17.2
FKME,145.54,16.99
PIWK,70.06,9.52
CAOD,52.29,9.59
CMWB,30.48,18.84
JAWJ,35.93,6.65
ZOLX,56.51,19.22
XDBE,90.95,5.92
RJTT,1.13,9.2
YTQL,28.04,15.68
HCCY,4.34,7.18
JGWM,136.97,6.16
VFRJ,154.64,6.91
GUJP,116.52,5.3
JRHM,133.25,9.31
FCWZ,79.41,7.76
ATDG,164.26,6.78
QOGZ,35.8,18.45
QCMM,50.58,6.82
IAII,60.06,12.84
EOLX,187.28,13.77
WKKZ,146.58,1.49
FKCX,25.07,14.36
QCFA,161.31,19.08
RAHO,10.12,14.18
YMXQ,153.14,9.81
QIVB,108.29,7.35
DSTK,55.88,8.2
UOMZ,100.85,11.32
OMUV,123.86,7.11
YCKE,153.4,19.58
OUKW,19.91,12.66
OCVO,33.6,14.83
LWLG,140.3,1.72
XHCG,17.17,5.86
ZSXN,60.08,11.01
RDSW,105.25,12.35
CDKW,127.99,5.73
GPON,184.15,4.45
CKFA,132.2,11.9
GRFU,87.25,16.91
TXYA,30.01,2.22
CYTU,25.98,2.11
FXQT,159.53,9.42
PKAT,109.87,12.68
LEYE,68.13,8.17
RMWG,43.25,2.5
WEAX,192.66,16.54
REQM,81.71,19.66
JAXB,63.31,10.45
NPDT,7.21,14.72
SVGD,84.27,8.13
EPYH,82.99,3.05
RCKO,198.23,9.72
EVXU,60.97,7.45
YMVI,126.96,5.64
TQKY,184.78,15.03
ZYDC,93.51,1.21
BEZA,45.39,8.48
RARM,106.76,8.37
ECAE,2.42,3.69
EZNY,137.76,18.34
GRUA,139.58,4.46
QKHF,31.08,5.51
WFUL,28.7,1.66
WDKU,141.55,5.1
SGHJ,184.06,17.95
LSBD,186.72,19.1
WBSU,136.87,17.62
HCDT,48.24,17.13
NYXU,123.94,8.27
CREQ,172.7,2.47
KPTP,92.32,5.91
CPNE,129.73,11
LJUD,34.24,16.33
RRMF,23.62,8.15
GEGZ,166.38,4.09
LLVK,163.07,3.13
FEGC,8.05,18
DIVX,197.34,14.81
PUUA,157.19,15.31
JCUB,3.93,5.84
IYIC,168.64,6.94
WEYZ,127.67,17.15
OPWN,95.88,18.02
XPKL,25.38,7.26
AWLP,132.16,16.58
JZVZ,137.33,3.75
SRDR,165.18,2.48
KNZE,4.88,13.59
CYSN,1.23,8.04
DPVO,125.21,10
CEOM,55.89,3.35
AMOT,146.74,6.57
XWCD,36.94,7.75
SEJU,138.18,18.95
OTHW,116.38,13.61
NKLU,45.57,6.57
LGZT,139.37,17.8
CSWF,51.52,12.5
NYXN,131.87,12.64
XHHY,90.95,9.94
VMMX,88.77,2.04
GILU,169.05,6.63
UBEG,121.22,19.64
UGVE,31.35,11.13
HNJD,40.07,16.37
GPIS,130.49,12.09
ZUGU,30.73,6.58
FNET,88.09,11.43
KCSR,176.37,12.53
EWQB,155.15,16.04
IGXD,42.27,11.71
SIVL,125.13,13.86
OHNU,12.82,2.8
DXBZ,30.1,7.53
KBUQ,20.55,18.79
EMKN,58.58,16.91
OHOX,40.69,9.2
AREN,83.88,2.46
SBMY,121.47,1.52
DMYZ,190.59,1.47
NPLW,160.79,9.02
DLKE,105.97,18.48
LWFU,149.64,14.76
XLOM,7.79,9.87
BUCG,3.96,7.89
KQCH,44.54,18.41
EUDV,72.33,12.36
GADW,138.02,19.54
CVTN,138.06,6.58
LKVC,183.59,3.78
MBND,87.13,10.48
SBOE,55.17,7.53
QGLG,116.37,15.39
JWAR,192.77,13.59
JHAZ,22.75,17.01
DDBP,45.95,1.14
KQFV,132.36,3.67
FJWC,161.33,18.18
EERP,129.78,12.48
QNEZ,14.07,12.56
SLBZ,148.08,19.13
EMZW,184.72,12.71
YCXE,132.37,3.9
FHFG,38.1,7.57
XSNH,10.55,1.08
VWZH,198.9,16.86
GCQE,27.88,8.06
FAFQ,7.67,1.29
MANJ,198.7,17.57
EOYP,89.86,9.62
JGTB,165.08,13.62
OMBD,65.02,15.33
IXJI,45.12,18.49
GVXF,166.45,2.25
FMPT,140.07,3.5
OHLM,75.55,5
ITVL,2.74,15.93
UZOU,60.72,18.09
IZAR,14.35,15.52
LBCA,94.98,4.23
DFQM,155.85,17.63
BAOI,39.07,2.59
GOID,150.34,17.89
JULU,49.57,13.45
AVLS,102.92,5.26
FGFD,64.76,17.75
NUZB,49.25,12.42
IDNZ,100.52,2.97
SMJU,168.81,15.47
EQNI,31.56,11.38
GJQH,29.64,19.66
YTMW,61.99,13.67
KWTP,64.49,7.36
LJVB,6.14,4.84
ILMZ,83.75,4.2
CBYY,47.28,18.93
MFOP,183.55,9.33
SGTO,15.66,15.3
YFSA,121.73,16.99
IGKL,184.6,13.23
ZOKM,123.23,9.64
KKXB,127.61,13.13
RCPU,123.68,3.42
ZQCV,95.16,7.9
DXCA,6.19,11.69
ONIU,56.44,12.03
OMYA,126.64,7.85
QZNI,72.93,7.3
UUDV,127.43,12.27
KKQS,102.13,11.46
WCJG,33.82,2.13
KYVP,119.11,16.7
QQPM,167.07,19.71
LXJF,127.42,5.66
KCMF,14.58,4.23
LBVY,49.44,17.25
REIW,164.57,19.23
NJHG,52.48,12.43
WOZZ,187.68,5.5
FLHX,24.03,13.04
SMOJ,86.63,8.88
ILMP,24,1.27
HXIS,181.85,3.42
NAUI,165.55,10.58
KXCG,181.14,15.52
MJOL,56.18,16.78
NELC,30.09,4.37
ZUTA,188.55,8.87
YYQU,107.63,6.04
FGIZ,132.61,18.38
CKVQ,78.67,2.23
UPXH,110.23,16.38
PWLF,43.42,16.48
PYZJ,34.44,17.95
LQOU,128.78,3.37
AJXD,5.54,18.57
DIKG,90.07,13.17
AHLR,26.51,17.15
PUKQ,40.73,4.35
VGKQ,158.15,14.11
XOME,113.41,11.56
AULI,32.13,2.45
OWKH,76.91,19.17
GAOJ,40.2,13.72
HAOC,102.83,11.1
VNCN,61.25,13.23
GYYE,111.8,9.97
LAPJ,122.3,18.06
JZRL,134.27,1.57
XVPE,54.13,7.86
NSMU,137.6,15.16
DWFH,24.47,10.64
SSZI,150.14,15.58
OTOV,77.47,10.6
HBAY,17.65,11.38
FCJU,191.72,11.11
BXPQ,16.88,12.77
EQNG,190.13,13.96
OCDS,134.42,16.32
GONV,22.09,15.21
VSKA,64.29,17.22
CLOH,10.21,1.48
BKGE,24.36,9.41
SXIM,106.53,10.25
AORJ,118.21,9.97
POLR,64.01,8.05
GVSX,124.93,3.41
OWTS,72.58,6.07
SAXD,90.79,4.44
IYXE,91.52,5.26
QNLX,57.97,5.21
UNNF,161.6,2.15
AZKX,131.66,4.07
EVIN,99.43,9.22
IIUT,119.99,19.82
XAJP,101.8,1.66
LXMF,180.46,5.52
YQIC,66.65,4.97
UMLS,84.38,16.27
FTHX,72.99,6.5
MTTI,157.65,8.42
QRJW,138.84,2.06
DXKF,123.07,14.97
ICXP,129.47,9.95
MIDV,17.59,12.82
OPRF,15.31,12.18
PLCW,112.45,13.6
GXZB,26.49,13.71
TNUT,28.04,10.94
BMOJ,141.31,18.84
JKXA,120.51,14.47
QYKD,76.16,18.34
IOKZ,84.44,10.96
HSSS,104.79,12.61
RAVM,74.93,3.04
KNTL,165.55,4.64
WFGI,37.99,8.75
JGEN,125.59,18.8
LKHX,63.02,13.51
GUIL,135.06,15.1
UTTM,64.88,12.63
VSUC,1.28,19.58
AZJF,138.05,16.99
NGVW,32.96,4.89
AWMD,196.87,1.99
MNUO,186.86,15.89
MXCC,67.8,5.9
CQVO,87.02,11.97
OFKR,182.68,5.11
JHAQ,115.26,10.84
EGSP,198.65,8.19
AVRO,123.16,6.01
QHFE,11.32,2.92
CHZK,153.13,10.51
BNVU,24.89,11.1
LPGP,194.06,12.66
OXHT,40.73,4.81
INWM,35.15,16.68
JETV,183.02,17.34
AAKE,148.12,18.15
BALH,61.16,18.38
OCIW,76.16,2.73
NDCK,173,4.8
MBTU,142.28,11.84
SGED,131.93,1.81
QIHV,139.7,4.52
QCHJ,69.3,9.74
RNLU,5.67,1.4
UUHB,61.53,14.46
OPLL,10.87,6.41
KIVZ,88.98,10.59
ETPY,157.86,12.88
GHFX,123.14,11.05
BTKV,143.15,10.81
KPNT,157.58,8.28
TXOU,79.87,13.76
XNFA,65.77,6.91
DTGP,113,9.38
SFMY,91.63,5.21
DBWE,197.09,10.18
ATDW,172.87,15.62
IPIS,80.75,1.42
NIGQ,52.39,4.27
XXEK,109.15,6.07
GJLH,77.77,1.69
CPTD,155.57,18.87
OSLC,13.66,9.3
FGVY,59.01,9.32
ATWH,177.48,7.1
NMEK,6.15,5.66
EIES,161.37,5.96
MWZG,94.35,14.57
LIJM,168.83,4.01
XBPO,130.74,14.13
MCAW,36.25,3.36
DYHG,88.36,8.2
NAQU,104.96,13.21
IHUL,7.94,1.39
ZLOO,170.51,19.7
LOWT,115.14,13.23
MABN,186.68,14.04
YZEX,180.33,9.27
CNDI,110.56,13.43
FYWG,170.32,5.19
PXZF,80.78,16.29
PBCE,62.24,2.76
MKRW,151.12,18.53
TIFQ,90.52,8.88
EGHG,6.71,17.51
NRAA,147.27,13.52
VGVD,169.65,11.94
ZLXH,160.23,9.27
IRBF,44.29,10.93
JEFX,180.67,5
ENNC,115.29,7.29
YIBI,30.87,13.13
WWHZ,84.13,13
SSBQ,66.92,5.01
CEAO,112.28,6.29
HNGD,49.58,5.07
EEMN,61.21,14.78
CJCT,6.34,7
VXMY,187.91,13.2
AIGZ,34.19,17.49
DYFQ,185.97,15.34
YFFN,9.11,8.62
NMCJ,182.13,12.65
JFQX,134.87,13.04
PNKF,138.67,16.5
KWCD,111.2,5.38
JRUH,171.35,17.58
PSRO,82.66,9.27
TPVK,177.22,6.47
DLKK,34.01,13.6
UJAD,134.9,18.3
CWAJ,64.87,6.28
LZSX,142.28,9.75
QPJA,148.63,2.15
CPXN,91.29,3.5
KOWH,53.56,13.07
CBQZ,179.93,12.94
ALVI,66.62,12.1
UUWL,108.87,12.26
DLRA,11.43,15.16
JNPG,122.62,5.05
OFLJ,38.21,3.13
SYGW,114.79,3.83
TVUF,146.24,11.68
QAMR,23.33,14.53
DFPP,58.96,10.29
SXJT,181.72,3.03
GAWW,67.07,15.02
JJCI,42.25,4.68
IXQW,136.45,7.98
HNGK,63.29,18.58
RMFL,122.96,13
RIJD,188.37,4.29
UFZD,161.95,10.63
AXEZ,164.83,14.79
NVVE,172.67,6.54
JHZV,73.4,1.62
FJEN,72.01,5.77
DUXA,74.67,14.27
LPEX,152.49,7.11
SRDK,66.24,16.3
CUGY,68.66,12.86
WYTB,67.68,17.29
UNFA,144.34,4.4
GNGT,146.23,6.19
NKXA,96,12.17
PLUF,194.99,13.26
BARD,103.78,12.8
RNLV,151.42,4.22
YLLF,81.23,10.45
BOYH,137.78,17.54
CTED,52.23,11.96
JPCF,152.27,11.65
PDEC,193.64,9.72
QAVW,193.49,2.65
AFXG,36.48,5.94
ASSS,59.77,17.66
HXJE,181.4,14.09
SGYL,104.75,17.3
RPVP,169.71,13.43
IYGJ,49.34,4.56
CNOG,163.42,11.8
JHEO,9.25,17.02
EESN,117.22,16.93
FWRE,175.57,9.28
NIAI,192.48,15.95
HXFZ,16.59,7.19
YVCC,32.99,7.88
BOUZ,8.78,15.98
LLVN,35.17,19.55
QQPJ,73.05,12.69
CHCN,86.34,19.1
BHKI,168.58,16.05
HAVY,17.92,8.09
FHRC,121.16,1.39
FRFH,138.44,10.64
YVHH,154.91,6.64
SUJN,135.99,2.4
AJLR,172.35,10.34
SBIG,33.71,6.93
PTYA,195.6,15.62
OREU,63.71,19.66
GPIX,104.54,3.67
KRDF,22.34,17.7
MXIG,29.47,6.78
JNCI,92.93,2.95
BGAR,170.56,11.57
TUZO,185.44,5.94
VHNX,157.11,8.14
FFSM,176.42,3.08
LHYN,63.51,8.52
IEEX,151.28,16.63
MRNI,77.91,2.51
DWWT,180.08,18.19
AQJA,93.49,1.91
SCYF,31.78,13.77
MGEQ,16.35,18.1
XFKL,42.25,18.68
YWIU,81.44,11.8
KSYD,138.74,5.39
PGUS,84.65,12.82
PXRH,14.35,9.75
VWUB,108.36,12.28
TNQB,194.64,4.37
RMXI,164.39,18.91
IVDJ,17.82,8.52
IDZO,8.04,14.44
DOVS,10.51,5.9
QFXU,131.2,12.16
GGKR,31.89,11.35
HFPH,174.32,19.67
ESQO,73.8,2.51
TSCS,51.07,16.14
MGAQ,179.78,6.94
LLAL,134.26,15.79
UYBS,92.59,6.17
ZURP,168.33,10.21
LPGL,37.67,12.82
DCOX,32.88,13.86
MRPI,129.75,9.23
GJAN,169.27,16.94
EKLT,62.47,2.96
FPSR,175.5,14.18
LICO,13.53,19.52
WSER,90.56,7.05
BZPL,177.44,17.98
HATR,195.88,13.88
IOBA,55.05,8.27
YZPM,94.27,8.91
KSRQ,125.06,6.12
NHXL,86.39,14.44
TRCC,92.15,7.9
KRPD,111.01,7.06
CCXV,138.82,10.08
NDYV,123.03,14.52
JMOO,100.31,11.37
VRUZ,8.58,17.53
SVED,189.18,4.85
EZGR,169.51,18.63
QXTV,20.93,5.33
EKXT,145.9,6.5
MAAS,187.3,13.11
MADA,18.53,4.22
LHXT,193.97,9.05
DIST,142.96,18.65
XOHI,64.52,10.21
JZYY,115.76,13.77
LZCR,158.43,17.58
YECU,181.16,13.44
AZSX,186.81,7.06
JVXC,163.81,19.35
UHRU,196.47,10.23
SOIG,104.96,15.08
VXGN,73.04,12.89
ASWB,10.6,17.82
KANY,3.89,13.65
XQUD,147.91,15.24
IAPE,49.41,11.42
EJNV,110.06,9.42
QLVN,119.3,18.39
NIUU,140.73,19.22
RUFH,128.87,11.17
CBIZ,19.45,17.1
CJVR,66.57,7.43
XCUX,64.5,14.93
SEMN,31.79,10.23
WCWF,25.87,17.9
UWER,83.85,15
HUYY,165.32,7.58
EETC,36.24,14.42
NLBC,132.48,4.72
ZWVN,74.6,19.43
YUMQ,33.39,17.29
SIXP,31.26,3.19
LVUI,186.38,15.24
BDID,6.66,4.9
PCKN,120.5,5.32
NMEZ,9.57,18.91
DBJA,102.55,16.29
KPIW,40.27,3.4
EPZP,138.45,13.6
NSXQ,160.4,10.94
RJOA,10.45,4.49
CDTX,137.35,15.73
JQAX,68.96,15.56
NIXB,178.28,4.99
QMEJ,148.98,16.54
NUED,23.68,3.85
BTRM,86.11,14.15
OSJY,192.1,18.17
HZJD,141.78,11.9
AEBZ,170.66,2.16
ONOT,90.99,2.66
PCIH,24.44,7.98
FGQD,41.11,12
PAIO,114.71,15.55
UMAX,98.7,1.44
TVJG,155.24,18.35
RWJN,188.02,15.96
WSXJ,45.09,8.94
QSUE,118.41,19.77
LQJV,136.64,17
HFDV,82.7,18.4
GSED,154.12,12.01
SCIY,76.09,17.84
JCXY,134.88,10.43
DHEZ,141.64,12.57
MVZR,42.02,17.83
RWYC,110.61,7.8
YGIZ,6.34,12.03
TWQL,181.94,17.68
MLLA,176.15,7.93
FLSS,66.65,17.07
HQWP,151.37,13.6
BVWT,3,16.22
WMME,142.32,5.28
AWSP,182.88,9.81
ZYZH,192.32,16.04
NNZI,5.35,6.2
TPYM,11.87,1.02
FXNY,123.55,6.48
DNEP,197.97,17.47
WJEZ,99.1,14.43
TWII,195.05,1.99
QZTD,134.49,19.39
YKOZ,17.35,13.6
SFDX,38.82,19.19
RRWR,145.37,6.15
LPHC,177.07,17.48
WDBV,109.87,4.2
NRBT,191.55,5.42
RKGN,122.88,15.44
KZOZ,184.66,7.72
HQXY,129.95,2.49
XPJQ,19.91,3.52
CKFD,143.23,10.96
IBWD,140.79,5.2
WNYV,171.79,4.52
FVXE,80.39,11.22
DONB,55.02,17.04
MFZP,166.97,4.1
TZXO,88.7,3.92
RJMU,98.85,16.63
WEMG,171.36,5.9
TOQB,38.37,12.32
LBWF,120.87,12.55
YLDJ,176.91,12.06
PHZR,55.68,1.59
FXXP,7.59,17.29
FKRK,68.86,17.24
TMVY,178.95,14.73
VCZI,80.63,15.4
RADL,99.56,3.91
GWDD,100.48,5.75
DLOT,152.47,13.37
MQYV,20.89,16.3
TDFA,196.91,2.59
LUNB,130.83,6.94
WCPS,50.61,1.4
WUDF,45.18,7.64
YFGD,30.97,3.39
YCOP,183.41,6.23
KOWD,152.1,3.42
BEUA,50.28,7.17
ENYG,142.7,17.23
FAWA,108.75,2.41
GHOC,48.37,2.05
AMFX,50.95,14.53
QTNL,62,12.99
SZEP,17.05,14.59
WGPA,29.26,6.79
FNNY,171.35,4.98
CDYG,132.07,9.86
MNZW,139.76,1.82
LZJZ,195.15,4.41
RTKV,100.6,6.28
LZUZ,35.11,7.56
VUHC,172.19,3.19
TZBS,43.43,3.43
TRIU,28.38,9.33
RDNL,93.42,15.03
TXIJ,119.65,19.13
ZPLL,14,17.5
XUXA,199.23,1.81
AJQW,7.98,16.11
PIJF,56.05,17.29
JVES,98.28,8.54
GRXZ,71.56,5.89
YXSS,113.95,16.02
WKBL,147.43,7.41
FKIT,107.08,11.45
PLXY,94.75,6.36
OJMV,7.12,17.65
XAPE,188.34,18.26
BISV,141.92,15.39
AZSD,17.92,5.72
EKFS,55.9,15.63
HLWQ,75.01,3.89
XMTK,22.08,10.46
JWTW,186.06,18.64
GSCH,163.67,19.53
PYAN,112.93,15.67
TGGC,10.42,9.89
DIFY,28.63,9.57
LUHD,66.86,8.67
ZLCJ,66.19,2.62
SQCS,186.7,13.19
HPLG,122.56,19.47
GFIC,187.54,19.65
TVVM,105.76,13.11
CWXK,90.23,5.22
LROH,108.56,18.84
KTOL,199.86,19.53
RYYB,140.28,15.98
TMIC,7.4,3.02
XWHP,142.44,13.82
GAYC,67.68,4.58
KITH,54.33,9.59
HSHG,182.87,9.91
MOSZ,77.37,12.12
NXCC,77.41,6.05
RWVE,190.43,17.56
UIKX,39.33,8.9
SOYB,105.93,6.2
NZLD,121.4,15.18
QANL,46.93,6.68
OCTG,23.77,15.3
JGPA,141.09,18.19
SJRH,99.43,6.06
XCFI,176.33,10.51
AUQK,186.05,17.95
GQHS,115.24,9.27
NDON,46.89,13.17
MINH,18.41,16.82
VVKW,159.81,13.27
PWUR,186.12,1.56
TSOQ,151.82,8.61
VPAX,143.25,16.17
PWVX,140.73,17.21
UOAQ,31.87,1.23
IXKA,54.02,10.57
HLWL,162.52,11.77
IMRV,197.81,14.69
DEDF,98.61,5.4
QLHB,7.47,16.29
GWDD,161.23,3.04
LDNB,133.19,17.13
EZRD,88.34,12.18
DPTT,64.49,14.15
URON,43.7,7.86
FWON,162.77,19.61
MEFJ,101.31,18.97
JWMQ,177.16,18.58
LWXC,43.81,19.27
HUVJ,169.91,18.38
LZES,53.47,11.86
QOSK,53.11,15.06
WAHI,147.87,13.32
LVZX,27.34,15.3
QFEX,196.99,19.61
IRRF,80.21,3.9
LKMF,32.61,4.16
HXNL,29.37,15.57
DGQT,118.55,5.02
EDNU,11.59,16.8
RAOO,143.25,4.4
SQVQ,93.61,11.55
NRYE,187.88,12.45
FQUF,136.63,9.3
TEBY,64.94,17.47
LKHU,78.29,6.87
VHEV,28.22,6.86
NSZE,121.05,18.62
LEMF,32.25,5.62
BCMC,131.61,7.2
DLCI,108.24,14.26
QNTG,158.97,12.64
XORR,38.5,16.06
CRMK,12.95,11.96
OHLV,47.6,1.96
GKZP,31.75,9.32
DIEY,109.64,17.48
